,PC1,PC2
Forward,-0.33396860888186863,0.05252290608890438
Reverse,-2.220446049250313e-16,-2.42861286636753e-17
Dissipated,-0.2594254647398814,0.43487315007469035
Rail Setpoint,-0.32210601796657296,0.19755472614860425
Drive Setpoint,-0.26508032709981355,-0.4564346463088327
PA01 Current,-0.33148086508378977,-0.11044083990294672
HK Bias Voltage,0.0050879859826177395,0.10133074635283774
Soft Start Volts,0.321067842983269,0.2048140519833186
Setpoint,-0.3338252871287891,0.055244971260953006
Gamma Magnitude,-0.0,-3.2311742677852644e-27
Gamma Phase,0.022201013829653483,-0.6503769319345436
PA02 Current,-0.3317954235881822,-0.10583523725473434
PA03 Current,-0.33144350974778625,-0.11154032490456728
PA Voltage,-0.31980979968524886,0.21602739264699714
Fan Current,-0.0,-0.0
Heatsink Temp,-0.0,-0.0
