,PC1,PC2
Forward,-0.30078134681485347,0.07591725999510063
Reverse,-0.2770975546930173,0.08623543102542167
Dissipated,-0.24618494126244,-0.32080365599701927
Rail Setpoint,-0.17345609866055164,0.44259165370810155
Drive Setpoint,-0.30489793288007355,-0.06185708474268671
PA01 Current,-0.3059043061470963,-0.030789751975877952
HK Bias Voltage,0.17598245926576025,-0.30243544376046755
Soft Start Volts,0.2901042324216059,0.19587471831474593
Setpoint,-0.3007815728110879,0.07592233418991344
Gamma Magnitude,-0.1531014451731475,-0.4061231116601585
Gamma Phase,-0.20204930315101285,-0.3974022555609483
PA02 Current,-0.30578702543293595,-0.024492533383445685
PA03 Current,-0.3060341580434121,-0.038773848056823386
PA Voltage,-0.15291691029387078,0.4110834812254724
Fan Current,-0.0,0.0
Heatsink Temp,-0.2740497715115175,0.2316626693299301
