,PC1,PC2
Forward,-0.3037064684643237,0.0028923635597287185
Reverse,-0.25325798705136743,0.3791854448956864
Dissipated,-0.25298648348069513,0.42748193484796987
Rail Setpoint,-0.29674670012243765,0.161782262109856
Drive Setpoint,-0.22825534990450916,-0.5300350735521001
PA01 Current,-0.29629502765955495,-0.1922037572055038
HK Bias Voltage,-0.002618869945761506,-0.008553956058153529
Soft Start Volts,0.29201418850334954,0.2167867353218971
Setpoint,-0.3037027988269982,0.0028296915934499455
Gamma Magnitude,-0.18376538323912361,0.40837266425923924
Gamma Phase,-0.2783903712168023,-0.10087086213008245
PA02 Current,-0.2960951948208715,-0.19453394772760674
PA03 Current,-0.29675223382443033,-0.18670739752153742
PA Voltage,-0.2952135797229905,0.18081019163522757
Fan Current,-0.0,0.0
Heatsink Temp,-0.0,0.0
